iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
19200,,7.5309,7.5309,7.5309
19300,,7.5309,7.5309,7.5309
19400,,7.5309,7.5309,7.5309
19500,,7.5309,7.5309,7.5309
19600,,7.5309,7.5309,7.5309
19700,,7.5309,7.5309,7.5309
19800,,7.5309,7.5309,7.5309
19900,,7.5309,7.5309,7.5309
20000,,7.5309,7.5309,7.5309
20100,,7.5309,7.5309,7.5309
20200,,7.5309,7.5309,7.5309
20300,,7.5309,7.5309,7.5309
20400,,7.5309,7.5309,7.5309
20500,,7.5309,7.5309,7.5309
20600,,7.5309,7.5309,7.5309
20700,,7.5309,7.5309,7.5309
20800,,7.5309,7.5309,7.5309
20900,,7.5309,7.5309,7.5309
21000,,7.5309,7.5309,7.5309
21100,,7.5309,7.5309,7.5309
21200,,7.5309,7.5309,7.5309
21300,,7.5309,7.5309,7.5309
21400,,7.5309,7.5309,7.5309
21500,,7.5309,7.5309,7.5309
21600,,7.5309,7.5309,7.5309
21700,,7.5309,7.5309,7.5309
21800,,7.5309,7.5309,7.5309
21900,,7.5309,7.5309,7.5309
22000,,7.5309,7.5309,7.5309
22100,,7.5309,7.5309,7.5309
22200,,7.5223,7.5309,7.5309
22300,,7.4324,7.5309,7.5309
22400,,7.4324,7.5309,7.5309
22500,,7.4324,7.5309,7.5309
22600,,7.4324,7.5309,7.5309
22700,,7.4324,7.5309,7.5309
22800,,7.3195,7.5309,7.5309
22900,,7.3195,7.5309,7.5309
23000,,7.2034,7.5309,7.5309
23100,,7.1874,7.5309,7.5309
23200,,7.1874,7.5309,7.5309
23300,,7.1874,7.5309,7.5309
23400,,7.1577,7.5309,7.5309
23500,,7.1081,7.5309,7.5309
23600,,7.1081,7.5309,7.5309
23700,,7.1081,7.5309,7.5309
23800,,7.1060,7.5309,7.5309
23900,,7.0684,7.5309,7.5309
24000,,7.0022,7.5309,7.5309
24100,,7.0022,7.5309,7.5309
24200,,7.0022,7.5309,7.5309
24300,,7.0022,7.5309,7.5309
24400,,7.0022,7.5309,7.5309
24500,,6.9916,7.5309,7.5309
24600,,6.9099,7.5309,7.5309
24700,,6.9099,7.5309,7.5309
24800,,6.9099,7.5309,7.5309
24900,,6.9099,7.5309,7.5309
25000,,6.9099,7.5309,7.5309
25100,,6.9099,7.5309,7.5309
25200,,6.9099,7.5309,7.5309
25300,,6.9099,7.5309,7.5309
25400,,6.9099,7.5309,7.5309
